Tista 707-708,8/21/2010 13:07,"lat:25.078971 long:089.790837 speed:000.0
T:21/08/10  13:07
http://www.wxlxy.com/GPSTracker.aspx?key=354776137427436@78971.100@3163348.89"
Tista 707-708,8/21/2010 13:07,"lat:25.078971 long:089.790837 speed:000.0
T:21/08/10  13:07
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427636@631768.150@4745022.712"
Tista 707-708,8/21/2010 13:06,"lat:25.078341 long:089.791211 speed:018.0
T:21/08/10  13:06
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427636@626728.150@4747266.712"
Tista 707-708,8/21/2010 13:06,"lat:25.076628 long:089.792220 speed:027.0
T:21/08/10  13:06
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427236@689652.50@1584440.801"
Tista 707-708,8/21/2010 13:05,"lat:25.074048 long:089.793734 speed:035.0
T:21/08/10  13:05
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427236@666432.50@1587468.801"
Tista 707-708,8/21/2010 13:05,"lat:25.071025 long:089.795508 speed:040.0
T:21/08/10  13:04
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427536@639225.125@3977540.801"
Tista 707-708,8/21/2010 13:03,"lat:25.064364 long:089.799430 speed:048.0
T:21/08/10  13:03
http://www.wxlxy.com/GPSTracker.aspx?key=354776137427336@64364.75@2398290.89"
Tista 707-708,8/21/2010 13:03,"lat:25.060872 long:089.801481 speed:048.0
T:21/08/10  13:03
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427636@243488.150@4808886.356"
Tista 707-708,8/21/2010 13:02,"lat:25.057166 long:089.803662 speed:048.0
T:21/08/10  13:02
http://www.wxlxy.com/GPSTracker.aspx?key=354776137427436@57166.100@3214648.89"
Tista 707-708,8/21/2010 13:02,"lat:25.053369 long:089.805908 speed:048.0
T:21/08/10  13:02
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427936@320214.225@7253172.534"
Tista 707-708,8/21/2010 13:01,"lat:25.049780 long:089.808008 speed:048.0
T:21/08/10  13:01
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427836@398240.200@6464064.712"
Tista 707-708,8/21/2010 13:01,"lat:25.045980 long:089.810254 speed:048.0
T:21/08/10  13:01
http://www.wxlxy.com/GPSTracker.aspx?key=354776537427836@229900.200@6482032.445"
Tista 707-708,8/21/2010 13:00,"lat:25.042513 long:089.812272 speed:048.0
T:21/08/10  13:00
http://www.wxlxy.com/GPSTracker.aspx?key=354776537427936@212565.225@7310448.445"
Tista 707-708,8/21/2010 12:59,"lat:25.038835 long:089.814453 speed:048.0
T:21/08/10  12:59
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427236@155340.50@1628906.356"
Tista 707-708,8/21/2010 12:59,"lat:25.035181 long:089.816602 speed:048.0
T:21/08/10  12:59
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427836@281448.200@6532816.712"
Tista 707-708,8/21/2010 12:58,"lat:25.031767 long:089.818620 speed:046.0
T:21/08/10  12:58
http://www.wxlxy.com/GPSTracker.aspx?key=354776537427236@158835.50@1637240.445"
Tista 707-708,8/21/2010 12:58,"lat:25.028162 long:089.820736 speed:046.0
T:21/08/10  12:58
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427736@168972.175@5745152.534"
Tista 707-708,8/21/2010 12:57,"lat:25.024760 long:089.822738 speed:046.0
T:21/08/10  12:57
http://www.wxlxy.com/GPSTracker.aspx?key=354776537427336@123800.75@2468214.445"
Tista 707-708,8/21/2010 12:57,"lat:25.021159 long:089.824854 speed:046.0
T:21/08/10  12:57
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427336@126954.75@2474562.534"
Tista 707-708,8/21/2010 12:56,"lat:25.017615 long:089.826937 speed:046.0
T:21/08/10  12:56
http://www.wxlxy.com/GPSTracker.aspx?key=354776337427436@52845.100@3307748.267"
Tista 707-708,8/21/2010 12:56,"lat:25.014315 long:089.828874 speed:046.0
T:21/08/10  12:56
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427236@128835.50@1657748.801"
Tista 707-708,8/21/2010 12:55,"lat:25.010824 long:089.830941 speed:044.0
T:21/08/10  12:55
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427436@43296.100@3323764.356"
Tista 707-708,8/21/2010 12:55,"lat:25.007495 long:089.832878 speed:044.0
T:21/08/10  12:54
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427136@59960.25@832878.712"
Tista 707-708,8/21/2010 12:54,"lat:25.004020 long:089.834912 speed:042.0
T:21/08/10  12:54
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427436@36180.100@3339648.801"
Tista 707-708,8/21/2010 12:53,"lat:25.000618 long:089.836914 speed:042.0
T:21/08/10  12:53
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427736@4944.175@5858398.712"
Tista 707-708,8/21/2010 12:53,"lat:24.997599 long:089.838688 speed:040.0
T:21/08/10  12:53
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427836@1995198.192@6709504.178"
Tista 707-708,8/21/2010 12:52,"lat:24.994491 long:089.840527 speed:038.0
T:21/08/10  12:52
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427336@7955928.72@2521581.712"
Tista 707-708,8/21/2010 12:52,"lat:24.991683 long:089.842171 speed:037.0
T:21/08/10  12:52
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427836@5950098.192@6737368.534"
Tista 707-708,8/21/2010 12:51,"lat:24.988851 long:089.843848 speed:035.0
T:21/08/10  12:51
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427436@8899659.96@3375392.801"
Tista 707-708,8/21/2010 12:51,"lat:24.986348 long:089.845313 speed:033.0
T:21/08/10  12:51
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427936@1972696.216@7607817.178"
Tista 707-708,8/21/2010 12:50,"lat:24.983927 long:089.846842 speed:029.0
T:21/08/10  12:50
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427536@5903562.120@4234210.534"
Tista 707-708,8/21/2010 12:49,"lat:24.982121 long:089.848796 speed:027.0
T:21/08/10  12:49
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427736@8839089.168@5941572.801"
Tista 707-708,8/21/2010 12:49,"lat:24.980729 long:089.850537 speed:022.0
T:21/08/10  12:49
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427736@7845832.168@5953759.712"
Tista 707-708,8/21/2010 12:48,"lat:24.979643 long:089.851888 speed:014.0
T:21/08/10  12:48
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427736@6857501.168@5963216.623"
Tista 707-708,8/21/2010 12:48,"lat:24.979061 long:089.852620 speed:000.0
T:21/08/10  12:48
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427736@8811549.168@5968340.801"
Tista 707-708,8/21/2010 12:47,"lat:24.979061 long:089.852620 speed:000.0
T:21/08/10  12:47
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427636@6853427.144@5115720.623"
Tista 707-708,8/21/2010 12:47,"lat:24.979061 long:089.852620 speed:000.0
T:21/08/10  12:47
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427536@5874366.120@4263100.534"
Tista 707-708,8/21/2010 12:46,"lat:24.979061 long:089.852620 speed:000.0
T:21/08/10  12:46
http://www.wxlxy.com/GPSTracker.aspx?key=354776337427836@2937183.192@6820960.267"
Tista 707-708,8/21/2010 12:46,"lat:24.978772 long:089.852979 speed:012.0
T:21/08/10  12:45
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427236@7830176.48@1705958.712"
Tista 707-708,8/21/2010 12:45,"lat:24.977507 long:089.854541 speed:027.0
T:21/08/10  12:45
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427836@3910028.192@6836328.356"
Tista 707-708,8/21/2010 12:44,"lat:24.975712 long:089.856787 speed:037.0
T:21/08/10  12:44
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427336@5854272.72@2570361.534"
Tista 707-708,8/21/2010 12:44,"lat:24.973507 long:089.859538 speed:040.0
T:21/08/10  12:44
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427836@8761563.192@6876304.801"
Tista 707-708,8/21/2010 12:43,"lat:24.968697 long:089.865527 speed:044.0
T:21/08/10  12:43
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427236@1937394.48@1731054.178"
Tista 707-708,8/21/2010 12:42,"lat:24.966199 long:089.868652 speed:048.0
T:21/08/10  12:42
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427836@7729592.192@6949216.712"
Tista 707-708,8/21/2010 12:42,"lat:24.963485 long:089.872038 speed:046.0
T:21/08/10  12:42
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427636@6744395.144@5232228.623"
Tista 707-708,8/21/2010 12:41,"lat:24.960795 long:089.875407 speed:046.0
T:21/08/10  12:41
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427836@1921590.192@7003256.178"
Tista 707-708,8/21/2010 12:41,"lat:24.958252 long:089.878564 speed:046.0
T:21/08/10  12:40
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427336@6707764.72@2635692.623"
Tista 707-708,8/21/2010 12:40,"lat:24.955868 long:089.882113 speed:046.0
T:21/08/10  12:40
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427736@7646944.168@6174791.712"
Tista 707-708,8/21/2010 12:39,"lat:24.954431 long:089.886165 speed:046.0
T:21/08/10  12:39
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427536@1908862.120@4430825.178"
Tista 707-708,8/21/2010 12:39,"lat:24.952958 long:089.890332 speed:046.0
T:21/08/10  12:39
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427836@6670706.192@7122656.623"
Tista 707-708,8/21/2010 12:38,"lat:24.951558 long:089.894287 speed:044.0
T:21/08/10  12:38
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427136@7612464.24@894287.712"
Tista 707-708,8/21/2010 12:38,"lat:24.950216 long:089.898063 speed:040.0
T:21/08/10  12:38
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427336@1900432.72@2694189.178"
Tista 707-708,8/21/2010 12:37,"lat:24.948861 long:089.901888 speed:044.0
T:21/08/10  12:37
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427236@6642027.48@1803776.623"
Tista 707-708,8/21/2010 12:37,"lat:24.947522 long:089.905664 speed:046.0
T:21/08/10  12:37
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427136@5685132.24@905664.534"
Tista 707-708,8/21/2010 12:36,"lat:24.946098 long:089.909700 speed:044.0
T:21/08/10  12:36
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427936@1892196.216@8187300.178"
Tista 707-708,8/21/2010 12:36,"lat:24.944771 long:089.913428 speed:044.0
T:21/08/10  12:35
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427536@8502939.120@4567140.801"
Tista 707-708,8/21/2010 12:35,"lat:24.942871 long:089.917090 speed:044.0
T:21/08/10  12:35
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427736@3771484.168@6419630.356"
Tista 707-708,8/21/2010 12:34,"lat:24.940141 long:089.920150 speed:044.0
T:21/08/10  12:34
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427636@1880282.144@5520900.178"
Tista 707-708,8/21/2010 12:34,"lat:24.937606 long:089.922982 speed:042.0
T:21/08/10  12:34
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427836@7500848.192@7383856.712"
Tista 707-708,8/21/2010 12:33,"lat:24.934957 long:089.925944 speed:042.0
T:21/08/10  12:33
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427136@5609742.24@925944.534"
Tista 707-708,8/21/2010 12:33,"lat:24.932422 long:089.928792 speed:042.0
T:21/08/10  12:33
http://www.wxlxy.com/GPSTracker.aspx?key=354776537427236@4662110.48@1857584.445"
Tista 707-708,8/21/2010 12:32,"lat:24.929838 long:089.931673 speed:040.0
T:21/08/10  12:32
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427136@7438704.24@931673.712"
Tista 707-708,8/21/2010 12:32,"lat:24.927327 long:089.934473 speed:038.0
T:21/08/10  12:32
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427136@3709308.24@934473.356"
Tista 707-708,8/21/2010 12:31,"lat:24.925081 long:089.936979 speed:037.0
T:21/08/10  12:31
http://www.wxlxy.com/GPSTracker.aspx?key=354776137427736@925081.168@6558853.89"
Tista 707-708,8/21/2010 12:30,"lat:24.922872 long:089.939453 speed:035.0
T:21/08/10  12:30
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427736@7382976.168@6576171.712"
Tista 707-708,8/21/2010 12:30,"lat:24.920935 long:089.941618 speed:031.0
T:21/08/10  12:30
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427836@7367480.192@7532944.712"
Tista 707-708,8/21/2010 12:29,"lat:24.919063 long:089.943701 speed:027.0
T:21/08/10  12:29
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427136@8271567.24@943701.801"
Tista 707-708,8/21/2010 12:29,"lat:24.917749 long:089.945687 speed:025.0
T:21/08/10  12:29
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427636@7341992.144@5674122.712"
Tista 707-708,8/21/2010 12:28,"lat:24.917004 long:089.947835 speed:020.0
T:21/08/10  12:28
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427536@8253036.120@4739175.801"
Tista 707-708,8/21/2010 12:28,"lat:24.916516 long:089.949593 speed:014.0
T:21/08/10  12:28
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427436@8248644.96@3798372.801"
Tista 707-708,8/21/2010 12:27,"lat:24.916134 long:089.951042 speed:016.0
T:21/08/10  12:27
http://www.wxlxy.com/GPSTracker.aspx?key=354776137427936@916134.216@8559378.89"
Tista 707-708,8/21/2010 12:27,"lat:24.915796 long:089.952474 speed:011.0
T:21/08/10  12:26
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427636@8242164.144@5714844.801"
Tista 707-708,8/21/2010 12:26,"lat:24.915568 long:089.953060 speed:000.0
T:21/08/10  12:26
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427836@5493408.192@7624480.534"
Tista 707-708,8/21/2010 12:24,"lat:24.915568 long:089.953060 speed:000.0
T:21/08/10  12:24
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427736@3662272.168@6671420.356"
Tista 707-708,8/21/2010 12:24,"lat:24.915568 long:089.953060 speed:000.0
T:21/08/10  12:24
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427936@3662272.216@8577540.356"
Tista 707-708,8/21/2010 12:23,"lat:24.915145 long:089.954037 speed:018.0
T:21/08/10  12:23
http://www.wxlxy.com/GPSTracker.aspx?key=354776137427636@915145.144@5724222.89"
Tista 707-708,8/21/2010 12:23,"lat:24.914339 long:089.955941 speed:027.0
T:21/08/10  12:23
http://www.wxlxy.com/GPSTracker.aspx?key=354776437427236@3657356.48@1911882.356"
Tista 707-708,8/21/2010 12:22,"lat:24.913053 long:089.958643 speed:033.0
T:21/08/10  12:22
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427536@6391371.120@4793215.623"
Tista 707-708,8/21/2010 12:22,"lat:24.911344 long:089.961328 speed:038.0
T:21/08/10  12:21
http://www.wxlxy.com/GPSTracker.aspx?key=354776537427236@4556720.48@1922656.445"
Tista 707-708,8/21/2010 12:21,"lat:24.909281 long:089.964567 speed:038.0
T:21/08/10  12:21
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427136@1818562.24@964567.178"
Tista 707-708,8/21/2010 12:20,"lat:24.907259 long:089.967741 speed:038.0
T:21/08/10  12:20
http://www.wxlxy.com/GPSTracker.aspx?key=354776137427936@907259.216@8709669.89"
Tista 707-708,8/21/2010 12:20,"lat:24.905461 long:089.970540 speed:037.0
T:21/08/10  12:20
http://www.wxlxy.com/GPSTracker.aspx?key=354776737427736@6338227.168@6793780.623"
Tista 707-708,8/21/2010 12:19,"lat:24.903585 long:089.973486 speed:037.0
T:21/08/10  12:19
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427936@8132265.216@8761374.801"
Tista 707-708,8/21/2010 12:19,"lat:24.901880 long:089.976139 speed:035.0
T:21/08/10  12:19
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427536@1803760.120@4880695.178"
Tista 707-708,8/21/2010 12:18,"lat:24.900179 long:089.978792 speed:031.0
T:21/08/10  12:18
http://www.wxlxy.com/GPSTracker.aspx?key=354776837427936@7201432.216@8809128.712"
Tista 707-708,8/21/2010 12:18,"lat:24.898344 long:089.981152 speed:029.0
T:21/08/10  12:17
http://www.wxlxy.com/GPSTracker.aspx?key=354776637427336@5390064.72@2943456.534"
Tista 707-708,8/21/2010 12:17,"lat:24.896692 long:089.983105 speed:025.0
T:21/08/10  12:17
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427836@1793384.192@7864840.178"
Tista 707-708,8/21/2010 12:16,"lat:24.895194 long:089.984880 speed:020.0
T:21/08/10  12:16
http://www.wxlxy.com/GPSTracker.aspx?key=354776937427736@8056746.168@6894160.801"
Tista 707-708,8/21/2010 12:16,"lat:24.894112 long:089.986149 speed:014.0
T:21/08/10  12:16
http://www.wxlxy.com/GPSTracker.aspx?key=354776237427636@1788224.144@5916894.178"
